Time Stamp	DEMAND
03/01/2005 6:30 AM	1
03/01/2005 6:45 AM	2
03/01/2005 7:00 AM	4
03/01/2005 7:15 AM	0
03/01/2005 7:30 AM	10
03/01/2005 7:45 AM	13
03/01/2005 8:00 AM	18
03/01/2005 8:15 AM	19
03/01/2005 8:30 AM	23
03/01/2005 8:45 AM	13
03/01/2005 9:00 AM	14
03/01/2005 9:15 AM	14
03/01/2005 9:30 AM	28
03/01/2005 9:45 AM	20
03/01/2005 10:00 AM	17
03/01/2005 10:15 AM	27
03/01/2005 10:30 AM	15
03/01/2005 10:45 AM	31
03/01/2005 11:00 AM	29
03/01/2005 11:15 AM	25
03/01/2005 11:30 AM	33
03/01/2005 11:45 AM	40
03/01/2005 12:00 PM	36
03/01/2005 12:15 PM	49
03/01/2005 12:30 PM	43
03/01/2005 12:45 PM	47
03/01/2005 1:00 PM	43
03/01/2005 1:15 PM	51
03/01/2005 1:30 PM	38
03/01/2005 1:45 PM	34
03/01/2005 2:00 PM	47
03/01/2005 2:15 PM	45
03/01/2005 2:30 PM	35
03/01/2005 2:45 PM	34
03/01/2005 3:00 PM	31
03/01/2005 3:15 PM	37
03/01/2005 3:30 PM	32
03/01/2005 3:45 PM	32
03/01/2005 4:00 PM	45
03/01/2005 4:15 PM	28
03/01/2005 4:30 PM	40
03/01/2005 4:45 PM	27
03/01/2005 5:00 PM	41
03/01/2005 5:15 PM	44
03/01/2005 5:30 PM	50
03/01/2005 5:45 PM	44
03/01/2005 6:00 PM	50
03/01/2005 6:15 PM	62
03/01/2005 6:30 PM	62
03/01/2005 6:45 PM	69
03/01/2005 7:00 PM	98
03/01/2005 7:15 PM	82
03/01/2005 7:30 PM	66
03/01/2005 7:45 PM	60
03/01/2005 8:00 PM	79
03/01/2005 8:15 PM	60
03/01/2005 8:30 PM	46
03/01/2005 8:45 PM	36
03/01/2005 9:00 PM	27
03/01/2005 9:15 PM	26
03/01/2005 9:30 PM	24
03/01/2005 9:45 PM	12
03/01/2005 10:00 PM	8
03/02/2005 6:30 AM	4
03/02/2005 6:45 AM	3
03/02/2005 7:00 AM	2
03/02/2005 7:15 AM	3
03/02/2005 7:30 AM	10
03/02/2005 7:45 AM	13
03/02/2005 8:00 AM	9
03/02/2005 8:15 AM	16
03/02/2005 8:30 AM	21
03/02/2005 8:45 AM	20
03/02/2005 9:00 AM	12
03/02/2005 9:15 AM	19
03/02/2005 9:30 AM	26
03/02/2005 9:45 AM	18
03/02/2005 10:00 AM	15
03/02/2005 10:15 AM	18
03/02/2005 10:30 AM	33
03/02/2005 10:45 AM	38
03/02/2005 11:00 AM	32
03/02/2005 11:15 AM	32
03/02/2005 11:30 AM	28
03/02/2005 11:45 AM	24
03/02/2005 12:00 PM	41
03/02/2005 12:15 PM	35
03/02/2005 12:30 PM	43
03/02/2005 12:45 PM	41
03/02/2005 1:00 PM	40
03/02/2005 1:15 PM	41
03/02/2005 1:30 PM	44
03/02/2005 1:45 PM	50
